"basho","day","rikishi1_id","rikishi1_rank","rikishi1_shikona","rikishi1_result","rikishi1_win","kimarite","rikishi2_id","rikishi2_rank","rikishi2_shikona","rikishi2_result","rikishi2_win"
"2018.01",1,9077,"J14w","Kizenryu","0-1 (3-12)",0,"yorikiri",12425,"Ms1e","Yago","1-0 (5-2)",1
"2018.01",1,12425,"Ms1e","Yago","1-0 (5-2)",1,"yorikiri",9077,"J14w","Kizenryu","0-1 (3-12)",0
"2018.01",1,11918,"J14e","Akua","0-1 (4-11)",0,"oshidashi",12040,"J13w","Daishoho","1-0 (9-6)",1
"2018.01",1,12040,"J13w","Daishoho","1-0 (9-6)",1,"oshidashi",11918,"J14e","Akua","0-1 (4-11)",0
"2018.01",1,6600,"J12w","Tochihiryu","0-1 (4-11)",0,"tsukidashi",12406,"J13e","Mitoryu","1-0 (8-7)",1
"2018.01",1,12406,"J13e","Mitoryu","1-0 (8-7)",1,"tsukidashi",6600,"J12w","Tochihiryu","0-1 (4-11)",0
"2018.01",1,11989,"J12e","Yamaguchi","0-1 (2-12-1)",0,"yorikiri",12077,"J11w","Takagenji","1-0 (8-7)",1
"2018.01",1,12077,"J11w","Takagenji","1-0 (8-7)",1,"yorikiri",11989,"J12e","Yamaguchi","0-1 (2-12-1)",0
"2018.01",1,6559,"J10e","Seiro","0-1 (8-7)",0,"oshidashi",7153,"J10w","Kotoeko","1-0 (9-6)",1
"2018.01",1,7153,"J10w","Kotoeko","1-0 (9-6)",1,"oshidashi",6559,"J10e","Seiro","0-1 (8-7)",0
"2018.01",1,11855,"J9e","Takanosho","1-0 (9-6)",1,"oshidashi",11987,"J8w","Osunaarashi","0-1 (1-8-6)",0
"2018.01",1,11987,"J8w","Osunaarashi","0-1 (1-8-6)",0,"oshidashi",11855,"J9e","Takanosho","1-0 (9-6)",1
"2018.01",1,7143,"J8e","Amakaze","1-0 (8-7)",1,"yorikiri",8904,"J7w","Homarefuji","0-1 (7-8)",0
"2018.01",1,8904,"J7w","Homarefuji","0-1 (7-8)",0,"yorikiri",7143,"J8e","Amakaze","1-0 (8-7)",1
"2018.01",1,2879,"J7e","Sadanoumi","0-1 (9-6)",0,"yorikiri",11840,"J6w","Chiyonoo","1-0 (8-7)",1
"2018.01",1,11840,"J6w","Chiyonoo","1-0 (8-7)",1,"yorikiri",2879,"J7e","Sadanoumi","0-1 (9-6)",0
"2018.01",1,6572,"J5w","Gagamaru","0-1 (8-7)",0,"yorikiri",12113,"J6e","Tsurugisho","1-0 (7-8)",1
"2018.01",1,12113,"J6e","Tsurugisho","1-0 (7-8)",1,"yorikiri",6572,"J5w","Gagamaru","0-1 (8-7)",0
"2018.01",1,11726,"J5e","Tokushoryu","1-0 (8-7)",1,"yorikiri",11946,"J4w","Meisei","0-1 (8-7)",0
"2018.01",1,11946,"J4w","Meisei","0-1 (8-7)",0,"yorikiri",11726,"J5e","Tokushoryu","1-0 (8-7)",1
"2018.01",1,7239,"J4e","Kyokushuho","0-1 (8-7)",0,"yorikiri",12026,"J3w","Hidenoumi","1-0 (10-5)",1
"2018.01",1,12026,"J3w","Hidenoumi","1-0 (10-5)",1,"yorikiri",7239,"J4e","Kyokushuho","0-1 (8-7)",0
"2018.01",1,11723,"J2e","Azumaryu","1-0 (7-8)",1,"oshidashi",11786,"J2w","Aoiyama","0-1 (9-6)",0
"2018.01",1,11786,"J2w","Aoiyama","0-1 (9-6)",0,"oshidashi",11723,"J2e","Azumaryu","1-0 (7-8)",1
"2018.01",1,8899,"J1w","Kyokutaisei","1-0 (8-7)",1,"yorikiri",11784,"J1e","Myogiryu","0-1 (10-5)",0
"2018.01",1,11784,"J1e","Myogiryu","0-1 (10-5)",0,"yorikiri",8899,"J1w","Kyokutaisei","1-0 (8-7)",1
"2018.01",1,12273,"M17e","Daiamami","0-1 (8-7)",0,"uwatenage",12291,"M16w","Asanoyama","1-0 (9-6)",1
"2018.01",1,12291,"M16w","Asanoyama","1-0 (9-6)",1,"uwatenage",12273,"M17e","Daiamami","0-1 (8-7)",0
"2018.01",1,6594,"M16e","Ryuden","1-0 (10-5)",1,"uwatenage",6596,"M15w","Nishikigi","0-1 (8-7)",0
"2018.01",1,6596,"M15w","Nishikigi","0-1 (8-7)",0,"uwatenage",6594,"M16e","Ryuden","1-0 (10-5)",1
"2018.01",1,12051,"M15e","Ishiura","1-0 (9-6)",1,"yoritaoshi",12292,"M14w","Yutakayama","0-1 (9-6)",0
"2018.01",1,12292,"M14w","Yutakayama","0-1 (9-6)",0,"yoritaoshi",12051,"M15e","Ishiura","1-0 (9-6)",1
"2018.01",1,11985,"M13w","Daieisho","1-0 (9-6)",1,"tsukiotoshi",12094,"M14e","Abi","0-1 (10-5)",0
"2018.01",1,12094,"M14e","Abi","0-1 (10-5)",0,"tsukiotoshi",11985,"M13w","Daieisho","1-0 (9-6)",1
"2018.01",1,1284,"M13e","Takekaze","0-1 (5-10)",0,"oshidashi",11845,"M12w","Kagayaki","1-0 (9-6)",1
"2018.01",1,11845,"M12w","Kagayaki","1-0 (9-6)",1,"oshidashi",1284,"M13e","Takekaze","0-1 (5-10)",0
"2018.01",1,4980,"M12e","Sokokurai","0-1 (6-9)",0,"oshidashi",12144,"M11w","Daishomaru","1-0 (7-8)",1
"2018.01",1,12144,"M11w","Daishomaru","1-0 (7-8)",1,"oshidashi",4980,"M12e","Sokokurai","0-1 (6-9)",0
"2018.01",1,89,"M10w","Aminishiki","0-1 (3-9-3)",0,"hatakikomi",9079,"M11e","Kotoyuki","1-0 (7-8)",1
"2018.01",1,9079,"M11e","Kotoyuki","1-0 (7-8)",1,"hatakikomi",89,"M10w","Aminishiki","0-1 (3-9-3)",0
"2018.01",1,7240,"M9w","Chiyomaru","1-0 (9-6)",1,"yorikiri",11927,"M10e","Terunofuji","0-1 (0-8-7)",0
"2018.01",1,11927,"M10e","Terunofuji","0-1 (0-8-7)",0,"yorikiri",7240,"M9w","Chiyomaru","1-0 (9-6)",1
"2018.01",1,6614,"M9e","Shohozan","0-1 (9-6)",0,"kotenage",6753,"M8w","Kaisei","1-0 (8-7)",1
"2018.01",1,6753,"M8w","Kaisei","1-0 (8-7)",1,"kotenage",6614,"M9e","Shohozan","0-1 (9-6)",0
"2018.01",1,6473,"M8e","Tochiozan","1-0 (6-6-3)",1,"oshidashi",6642,"M7w","Chiyonokuni","0-1 (6-9)",0
"2018.01",1,6642,"M7w","Chiyonokuni","0-1 (6-9)",0,"oshidashi",6473,"M8e","Tochiozan","1-0 (6-6-3)",1
"2018.01",1,6491,"M6w","Ikioi","0-1 (4-11)",0,"hatakikomi",11785,"M7e","Chiyoshoma","1-0 (6-9)",1
"2018.01",1,11785,"M7e","Chiyoshoma","1-0 (6-9)",1,"hatakikomi",6491,"M6w","Ikioi","0-1 (4-11)",0
"2018.01",1,11728,"M6e","Takarafuji","0-1 (8-7)",0,"sukuinage",12055,"M5w","Endo","1-0 (9-6)",1
"2018.01",1,12055,"M5w","Endo","1-0 (9-6)",1,"sukuinage",11728,"M6e","Takarafuji","0-1 (8-7)",0
"2018.01",1,2832,"M4w","Arawashi","1-0 (8-7)",1,"shitatenage",6463,"M5e","Okinoumi","0-1 (5-10)",0
"2018.01",1,6463,"M5e","Okinoumi","0-1 (5-10)",0,"shitatenage",2832,"M4w","Arawashi","1-0 (8-7)",1
"2018.01",1,6599,"M3w","Tochinoshin","1-0 (14-1)",1,"yorikiri",12130,"M4e","Shodai","0-1 (7-8)",0
"2018.01",1,12130,"M4e","Shodai","0-1 (7-8)",0,"yorikiri",6599,"M3w","Tochinoshin","1-0 (14-1)",1
"2018.01",1,5944,"S1w","Tamawashi","1-0 (6-9)",1,"oshidashi",11934,"M3e","Chiyotairyu","0-1 (8-7)",0
"2018.01",1,11934,"M3e","Chiyotairyu","0-1 (8-7)",0,"oshidashi",5944,"S1w","Tamawashi","1-0 (6-9)",1
"2018.01",1,1226,"M2w","Kotoshogiku","0-1 (7-8)",0,"yorikiri",12210,"S1e","Mitakeumi","1-0 (8-7)",1
"2018.01",1,12210,"S1e","Mitakeumi","1-0 (8-7)",1,"yorikiri",1226,"M2w","Kotoshogiku","0-1 (7-8)",0
"2018.01",1,5967,"M2e","Yoshikaze","0-1 (4-11)",0,"kotenage",6480,"O1w","Takayasu","1-0 (12-3)",1
"2018.01",1,6480,"O1w","Takayasu","1-0 (12-3)",1,"kotenage",5967,"M2e","Yoshikaze","0-1 (4-11)",0
"2018.01",1,6468,"O1e","Goeido","1-0 (8-7)",1,"oshidashi",12107,"M1w","Ichinojo","0-1 (10-5)",0
"2018.01",1,12107,"M1w","Ichinojo","0-1 (10-5)",0,"oshidashi",6468,"O1e","Goeido","1-0 (8-7)",1
"2018.01",1,1219,"Y2e","Kakuryu","1-0 (11-4)",1,"hikiotoshi",12239,"M1e","Hokutofuji","0-1 (4-11)",0
"2018.01",1,12239,"M1e","Hokutofuji","0-1 (4-11)",0,"hikiotoshi",1219,"Y2e","Kakuryu","1-0 (11-4)",1
"2018.01",1,1235,"Y1w","Kisenosato","0-1 (1-5-9)",0,"tottari",12191,"K1e","Takakeisho","1-0 (5-10)",1
"2018.01",1,12191,"K1e","Takakeisho","1-0 (5-10)",1,"tottari",1235,"Y1w","Kisenosato","0-1 (1-5-9)",0
"2018.01",1,1123,"Y1e","Hakuho","1-0 (2-3-10)",1,"tsukiotoshi",12043,"K1w","Onosho","0-1 (4-6-5)",0
"2018.01",1,12043,"K1w","Onosho","0-1 (4-6-5)",0,"tsukiotoshi",1123,"Y1e","Hakuho","1-0 (2-3-10)",1
"2018.01",2,11868,"Ms1w","Terutsuyoshi","2-0 (4-3)",1,"shitatenage",11918,"J14e","Akua","0-2 (4-11)",0
"2018.01",2,11918,"J14e","Akua","0-2 (4-11)",0,"shitatenage",11868,"Ms1w","Terutsuyoshi","2-0 (4-3)",1
"2018.01",2,9077,"J14w","Kizenryu","0-2 (3-12)",0,"yorikiri",12406,"J13e","Mitoryu","2-0 (8-7)",1
"2018.01",2,12406,"J13e","Mitoryu","2-0 (8-7)",1,"yorikiri",9077,"J14w","Kizenryu","0-2 (3-12)",0
"2018.01",2,6600,"J12w","Tochihiryu","0-2 (4-11)",0,"hatakikomi",12040,"J13w","Daishoho","2-0 (9-6)",1
"2018.01",2,12040,"J13w","Daishoho","2-0 (9-6)",1,"hatakikomi",6600,"J12w","Tochihiryu","0-2 (4-11)",0
"2018.01",2,6559,"J10e","Seiro","0-2 (8-7)",0,"okuridashi",11989,"J12e","Yamaguchi","1-1 (2-12-1)",1
"2018.01",2,11989,"J12e","Yamaguchi","1-1 (2-12-1)",1,"okuridashi",6559,"J10e","Seiro","0-2 (8-7)",0
"2018.01",2,7153,"J10w","Kotoeko","1-1 (9-6)",0,"yorikiri",12077,"J11w","Takagenji","2-0 (8-7)",1
"2018.01",2,12077,"J11w","Takagenji","2-0 (8-7)",1,"yorikiri",7153,"J10w","Kotoeko","1-1 (9-6)",0
"2018.01",2,7143,"J8e","Amakaze","2-0 (8-7)",1,"hatakikomi",11855,"J9e","Takanosho","1-1 (9-6)",0
"2018.01",2,11855,"J9e","Takanosho","1-1 (9-6)",0,"hatakikomi",7143,"J8e","Amakaze","2-0 (8-7)",1
"2018.01",2,8904,"J7w","Homarefuji","1-1 (7-8)",1,"oshidashi",11987,"J8w","Osunaarashi","0-2 (1-8-6)",0
"2018.01",2,11987,"J8w","Osunaarashi","0-2 (1-8-6)",0,"oshidashi",8904,"J7w","Homarefuji","1-1 (7-8)",1
"2018.01",2,2879,"J7e","Sadanoumi","1-1 (9-6)",1,"yoritaoshi",12113,"J6e","Tsurugisho","1-1 (7-8)",0
